ticket_id,title,description,category,priority,resolution,created_date,status,resolution_time_hours
TKT-000072,DNS resolution failures for app.company.com,DHCP pool for subnet [subnet] exhausted. New devices unable to obtain IP addresses.,Network,Critical,Expanded DHCP pool range for subnet [subnet]. Additional 46 IP addresses available.,2025-08-25 10:36:48,Closed,59
TKT-000073,Query performance degradation on InventoryDB,Index fragmentation on [table_name] exceeds threshold. Query performance severely impacted.,Database,Medium,Restored affected records from backup and ran full data integrity check. Corruption resolved.,2025-04-11 10:36:48,Resolved,37
TKT-000074,Index rebuild required for AnalyticsDB,Data integrity check found corruption in [table_name]. 5114 records potentially affected.,Database,High,Configured transaction log backup and implemented log management. Log space issues resolved.,2025-06-03 10:36:48,Resolved,70
TKT-000075,DNS resolution failures for mail.company.com,Port [port_number] on switch SW-ACCESS-02 non-functional. 6 devices disconnected.,Network,High,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,2025-11-30 10:36:48,Resolved,23
TKT-000076,High CPU usage on APP-SRV-03,Automated backup job failed for APP-SRV-03. Error code: ERR_003. Data integrity risk identified.,Infrastructure,Critical,Scheduled maintenance window. Successfully migrated VM with zero data loss.,2025-07-18 10:36:48,Resolved,51
TKT-000077,Network connectivity issues in Building B,Interface [interface] showing 75% bandwidth utilization. Network congestion detected.,Network,Low,Replaced faulty port module on SW-MGMT-01. All 19 devices reconnected successfully.,2025-10-27 10:36:48,Closed,56
TKT-000078,Switch port failure on SW-DMZ-01,Users in Branch Office experiencing intermittent connectivity. Packet loss at 77% detected.,Network,Medium,Identified faulty network cable and replaced. Connectivity restored to Building B with 0% packet loss.,2025-10-16 10:36:48,Closed,68
TKT-000079,Transaction log full in AnalyticsDB,Applications experiencing connection timeouts to InventoryDB. Connection pool showing [pool_size] active connections.,Database,Low,Added additional storage and configured automatic growth. Space monitoring alerts implemented.,2026-02-07 10:36:48,Closed,8
TKT-000080,Confluence application error - [error_type],The [feature] feature in Confluence not functioning correctly. Error message: [error_msg]. Business process blocked.,Application,Low,Reset user credentials and cleared authentication cache. User successfully logged in.,2026-02-13 10:36:48,Closed,64
TKT-000081,Wireless connectivity issues in [area],VLAN [vlan_id] misconfigured on SW-DMZ-01. Inter-VLAN communication broken.,Network,Critical,Improved ventilation and cleaned equipment fans. Temperature normalized in Branch Office.,2025-03-24 10:36:48,Closed,63
TKT-000082,Antivirus signature update failed,Critical security patches available for Active Directory. CVE-[cve_id] vulnerability needs immediate attention.,Security,Critical,Renewed SSL certificate for api.company.com. Certificate installed and verified across all services.,2025-11-08 10:36:48,Closed,15
TKT-000083,Replication lag in CustomerDB cluster,Data integrity check found corruption in [table_name]. 8027 records potentially affected.,Database,High,Identified problematic queries and optimized transaction isolation levels. Deadlock frequency reduced.,2025-11-17 10:36:48,Closed,36
TKT-000084,Storage array performance issues,Storage performance degraded. IOPS dropping below threshold. Multiple VMs affected on storage array NAS-02.,Infrastructure,Critical,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,2025-07-23 10:36:48,Resolved,6
TKT-000085,API timeout in HRMS,Deployment of Confluence version [version] failed during [stage] stage. Rollback initiated to maintain service.,Application,Critical,Optimized database queries and application caching. Performance improved by 33%.,2025-10-30 10:36:48,Closed,50
TKT-000086,DHCP pool exhausted in [subnet],DHCP pool for subnet [subnet] exhausted. New devices unable to obtain IP addresses.,Network,Critical,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,2025-11-13 10:36:48,Closed,19
TKT-000087,Firewall rule review required,Multiple failed login attempts detected for user john.doe from IP [ip_address]. Potential brute force attack.,Security,Critical,Fixed antivirus update service and deployed latest definitions to all 26 workstations.,2025-08-11 10:36:48,Closed,66
TKT-000088,Network connectivity issues in Branch Office,Port [port_number] on switch SW-CORE-01 non-functional. 46 devices disconnected.,Network,Medium,Identified faulty network cable and replaced. Connectivity restored to Branch Office with 0% packet loss.,2025-09-13 10:36:48,Resolved,23
TKT-000089,Phishing email reported by user,Critical security patches available for Oracle EBS. CVE-[cve_id] vulnerability needs immediate attention.,Security,High,Confirmed phishing attempt. Blocked sender and updated email filters. User security training scheduled.,2025-06-23 10:36:48,Resolved,13
TKT-000090,Data corruption detected in AnalyticsDB,Scheduled backup for UserDB failed at [time]. Error: [error_msg]. Data recovery risk identified.,Database,Medium,Fixed backup script configuration and verified storage connectivity. Backup completed successfully.,2025-05-14 10:36:48,Closed,24
TKT-000091,Database deadlock issues in ProductionDB,Data integrity check found corruption in [table_name]. 8313 records potentially affected.,Database,Low,Rebuilt indexes on [table_name] and optimized query execution plans. Performance improved 88%.,2025-09-05 10:36:48,Resolved,27
TKT-000092,Permission escalation required for mike.wilson,Privileged account audit requested for compliance. 38 admin accounts to review.,Access Management,Critical,Unlocked account for john.doe after identity verification. Password reset completed successfully.,2026-01-27 10:36:48,Closed,45
TKT-000093,Antivirus signature update failed,Critical security patches available for AWS Console. CVE-[cve_id] vulnerability needs immediate attention.,Security,Critical,Removed malware and ran full system scan. Workstation cleaned and monitoring enhanced.,2025-08-29 10:36:48,Closed,14
TKT-000094,HRMS application error - [error_type],Application CRM experiencing slow response times. Page load taking 33 seconds. User productivity impacted.,Application,Low,Applied application patch to fix [feature] functionality. Feature now working as expected.,2026-02-26 10:36:48,Resolved,53
TKT-000095,High CPU usage on MAIL-SRV-02,Memory consumption increasing steadily on DB-SERVER-02. 17GB RAM utilized. Application restart may be needed.,Infrastructure,Low,Fixed backup script permissions. Re-ran backup job successfully and verified data integrity.,2026-01-12 10:36:48,Closed,47
TKT-000096,Data sync issues in HRMS,User david.brown unable to authenticate to Jenkins. Password reset attempts failing. Access required urgently.,Application,Critical,Fixed [error_type] by updating application configuration. Deployed hotfix and verified error resolution.,2025-08-27 10:36:48,Resolved,23
TKT-000097,User access request for Office 365,Service account 46 password expired. [dependent_services] services affected.,Access Management,Low,Unlocked account for mike.wilson after identity verification. Password reset completed successfully.,2025-04-24 10:36:48,Resolved,18
TKT-000098,Transaction log full in InventoryDB,Deadlock frequency increased on InventoryDB. 23 deadlocks in past [timeframe].,Database,Medium,Rebuilt indexes on [table_name] and optimized query execution plans. Performance improved 78%.,2025-06-01 10:36:48,Closed,54
TKT-000099,DNS resolution failures for api.company.com,Routing inconsistencies on [router]. Traffic to [destination] taking suboptimal paths.,Network,Medium,Corrected VLAN [vlan_id] configuration on SW-CORE-01. Inter-VLAN routing restored.,2025-07-28 10:36:48,Resolved,6
TKT-000100,High latency on network segment [segment],Port [port_number] on switch SW-ACCESS-02 non-functional. 40 devices disconnected.,Network,Medium,Updated routing tables on [router]. Traffic now following optimal paths to [destination].,2025-05-12 10:36:48,Closed,32
TKT-000101,Access revocation for terminated employee,User john.doe requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Low,Completed privileged account audit. 46 findings documented and remediation planned.,2025-11-25 10:36:48,Resolved,21
TKT-000102,Network equipment overheating in Data Center,Users in Data Center experiencing intermittent connectivity. Packet loss at 86% detected.,Network,High,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,2025-12-12 10:36:48,Closed,23
TKT-000103,HRMS application error - [error_type],Database connectivity lost for SharePoint. Connection pool exhausted. Application functionality severely limited.,Application,Medium,Applied application patch to fix [feature] functionality. Feature now working as expected.,2025-12-16 10:36:48,Closed,25
TKT-000104,Server MAIL-SRV-02 not responding,Storage performance degraded. IOPS dropping below threshold. Multiple VMs affected on storage array SAN-01.,Infrastructure,Medium,Fixed backup script permissions. Re-ran backup job successfully and verified data integrity.,2025-09-27 10:36:48,Closed,68
TKT-000105,Privileged account audit request,User sarah.johnson requesting MFA setup for enhanced security. Device: [device_type].,Access Management,Critical,Fixed SSO configuration for AWS Console. Identity provider integration restored successfully.,2025-09-04 10:36:48,Closed,14
TKT-000106,Backup failed for DB-SERVER-02,Storage performance degraded. IOPS dropping below threshold. Multiple VMs affected on storage array NAS-01.,Infrastructure,High,Restored network connectivity. Updated routing tables and verified server accessibility.,2026-02-19 10:36:48,Closed,58
TKT-000107,Index rebuild required for CustomerDB,Index fragmentation on [table_name] exceeds threshold. Query performance severely impacted.,Database,Medium,Optimized replication settings and network connectivity. Lag reduced to acceptable levels.,2025-05-07 10:36:48,Closed,65
TKT-000108,Routing table corruption on [router],Network equipment in Building B overheating. Temperature reading 31°C above normal.,Network,High,Relocated wireless access point and adjusted antenna positioning. Signal strength improved in [area].,2026-02-26 10:36:48,Closed,9
TKT-000109,Server APP-SRV-03 not responding,VM VM-TEST-01 requires migration due to host maintenance. Service window needed to prevent downtime.,Infrastructure,Critical,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,2025-07-04 10:36:48,Closed,29
TKT-000110,DNS resolution failures for company.com,Routing inconsistencies on [router]. Traffic to [destination] taking suboptimal paths.,Network,Medium,Corrected VLAN [vlan_id] configuration on SW-CORE-01. Inter-VLAN routing restored.,2025-12-23 10:36:48,Resolved,45
TKT-000111,Role-based access review required,Service account 18 password expired. [dependent_services] services affected.,Access Management,Low,Completed privileged account audit. 33 findings documented and remediation planned.,2025-07-10 10:36:48,Closed,19
TKT-000112,VM migration required for APP-SRV-03,Server FILE-SRV-01 showing 83% CPU utilization. Multiple processes consuming resources. Performance severely degraded.,Infrastructure,Critical,Restarted API Service service and verified functionality. Implemented monitoring alerts for early detection.,2025-05-19 10:36:48,Closed,23
TKT-000113,Group membership review for [group_name],Employee mike.wilson terminated. Access revocation required across all systems immediately.,Access Management,Medium,Completed role-based access review for [department]. 49 access changes implemented.,2025-05-15 10:36:48,Closed,32
TKT-000114,User unable to login to SharePoint,The [feature] feature in CRM not functioning correctly. Error message: [error_msg]. Business process blocked.,Application,Critical,Fixed [error_type] by updating application configuration. Deployed hotfix and verified error resolution.,2025-10-11 10:36:48,Resolved,16
TKT-000115,CRM UI rendering problems,API calls to API Service timing out after 43 seconds. HRMS dependent operations failing.,Application,High,Increased API timeout values and optimized service calls. API response times now within acceptable range.,2025-10-03 10:36:48,Closed,44
TKT-000116,Phishing email reported by user,Antivirus software detected malware on workstation WS-002. File [filename] quarantined. User isolated.,Security,Low,Confirmed phishing attempt. Blocked sender and updated email filters. User security training scheduled.,2025-05-16 10:36:48,Resolved,20
TKT-000117,Disk space full on PROD-WEB-01,Server FILE-SRV-01 showing 99% CPU utilization. Multiple processes consuming resources. Performance severely degraded.,Infrastructure,Medium,Balanced storage load across arrays. Optimized IOPS distribution and added performance monitoring.,2025-05-01 10:36:48,Resolved,52
TKT-000118,Permission escalation required for david.brown,Quarterly review of [group_name] group membership required. 25 members to verify.,Access Management,High,Granted john.doe appropriate access to SAP based on role [role]. Manager approval verified.,2026-02-02 10:36:48,Resolved,19
TKT-000119,VPN connection issues for remote users,Multiple failed login attempts detected for user david.brown from IP [ip_address]. Potential brute force attack.,Security,Low,Contained potential breach. Conducted forensic analysis and implemented additional monitoring.,2025-12-04 10:36:48,Resolved,17
TKT-000120,Integration failure between Salesforce and Database Service,Integration between Jenkins and Database Service broken. Data exchange failing with error ERR_004.,Application,Medium,Reset user credentials and cleared authentication cache. User successfully logged in.,2025-08-03 10:36:48,Closed,44
TKT-000121,Network connectivity issues in Remote Site,Routing inconsistencies on [router]. Traffic to [destination] taking suboptimal paths.,Network,High,Corrected VLAN [vlan_id] configuration on SW-MGMT-01. Inter-VLAN routing restored.,2025-05-10 10:36:48,Closed,50
TKT-000122,VM migration required for PROD-WEB-01,Power outage in datacenter affecting rack R3. UPS systems engaged. Estimated 2 minutes downtime.,Infrastructure,Low,Cleaned up temporary files and logs. Implemented automated cleanup scripts and storage monitoring.,2025-04-04 10:36:48,Resolved,25
TKT-000123,VM migration required for APP-SRV-03,Disk usage on MAIL-SRV-02 has reached 99% capacity. Critical system files may be affected. Immediate cleanup required.,Infrastructure,Medium,Fixed backup script permissions. Re-ran backup job successfully and verified data integrity.,2025-09-05 10:36:48,Closed,13
TKT-000124,Switch port failure on SW-CORE-01,Wireless users in [area] unable to maintain stable connections. Signal strength degraded.,Network,Medium,Fixed DNS server configuration and cleared cache. Domain api.company.com resolution working normally.,2025-10-28 10:36:48,Closed,51
