ticket_id,title,description,category,priority,resolution,resolution_time_hours
NT-015,Satellite Data Download Interrupted,"Ground station satellite data transfer interrupted mid-download. Signal strength good but data packets corrupted. Retry fails at same point.",Infrastructure,High,"1. Check RF interference in satellite frequency 2. Verify ground station antenna alignment 3. Review data integrity checksums 4. Check for solar flare activity affecting signal 5. Test alternative ground station if available 6. Implement resume capability in download protocol",9.0
NT-016,Two-Factor Auth Tokens Expire Too Fast,"Users complain 2FA TOTP codes expire before they can enter them. Time sync verified on both client and server. Standard 30-second window.",Security,Medium,"1. Verify server and client time synchronization accuracy 2. Check for clock drift on authentication server 3. Review TOTP algorithm implementation 4. Consider extending valid time window to 60 seconds 5. Implement time skew tolerance 6. Check for timezone issues",2.0
NT-017,Smart Fridge Sending Too Many Alerts,"IoT-enabled office refrigerator sends door open alerts every 2 minutes even when closed. Door sensor appears functional.",Unknown,Low,"1. Check door sensor calibration settings 2. Review IoT device firmware version 3. Verify magnetic door seal not weak 4. Check for electromagnetic interference near sensor 5. Inspect physical door alignment 6. Reset IoT module to factory settings 7. Replace sensor if faulty",1.5
NT-018,Kubernetes Pod Stuck in Pending State,"Pod remains in Pending state for 20 minutes. No available nodes match pod requirements. Cluster has free resources but pod not scheduling.",Infrastructure,Medium,"1. Check pod resource requests vs node capacity 2. Review pod node selector and affinity rules 3. Verify persistent volume claims bound 4. Check for taints on nodes preventing scheduling 5. Review pod security policies 6. Check cluster autoscaler status 7. Describe pod for detailed events",3.5
NT-019,AR Headset Tracking Drift,"Augmented reality headset spatial tracking drifts over time during warehouse navigation. Initial calibration accurate but degrades after 30 minutes.",Application,Medium,"1. Check for magnetic interference in warehouse 2. Verify AR markers not damaged or obstructed 3. Update headset firmware and tracking algorithms 4. Recalibrate headset environment mapping 5. Review lighting conditions affecting computer vision 6. Implement periodic recalibration checkpoints",4.5
NT-020,SSO Login Redirects to Wrong Portal,"Single sign-on redirects finance department users to HR portal instead of finance portal. IT users unaffected. SAML assertion correct.",Access Management,High,"1. Review SSO application mappings for finance group 2. Check SAML RelayState parameter handling 3. Verify user group membership in identity provider 4. Review application access policies 5. Check for portal URL configuration errors 6. Clear SSO session cache and retry",3.0
NT-021,Drone Fleet Coordination System Malfunction,"Agricultural drone swarm losing formation pattern during automated crop spraying. Drones operating individually but collective AI coordination failing. GPS signal strong.",Unknown,High,"1. Check swarm coordination algorithm logs 2. Verify inter-drone communication mesh network 3. Review collective behavior parameters 4. Test individual drone AI modules 5. Check for RF interference affecting coordination signals 6. Recalibrate swarm formation protocols 7. Update firmware on all units",6.0
NT-022,Voice Assistant Misinterpreting Medical Terms,"Healthcare voice assistant incorrectly transcribing medical terminology during patient consultations. Accuracy dropped from 95% to 60% after latest update. Non-medical terms unaffected.",Unknown,High,"1. Rollback to previous voice model version 2. Review medical terminology training dataset 3. Check for audio preprocessing changes 4. Verify medical dictionary integration 5. Test with various accents and speech patterns 6. Retrain model with updated medical corpus 7. Implement medical term confidence scoring",5.0
NT-023,Smart Building HVAC AI Overcooling,"Building automation AI system overcooling offices to 15°C despite 22°C setpoint. Manual override ineffective. AI claims optimizing for predicted afternoon heat wave that never occurs.",Unknown,Medium,"1. Review AI weather prediction data source 2. Check HVAC learning algorithm parameters 3. Verify temperature sensor calibration 4. Review AI decision-making logs 5. Disable predictive cooling temporarily 6. Retrain AI with local weather patterns 7. Implement manual override priority",3.0
NT-024,Autonomous Vehicle Route Optimization Error,"Self-driving delivery vehicles taking inefficient routes adding 40% travel time. Route planning AI ignoring real-time traffic despite data feed active.",Unknown,High,"1. Verify traffic data API integration 2. Review route optimization algorithm weights 3. Check GPS accuracy and map data version 4. Analyze AI route decision logs 5. Test pathfinding with known traffic patterns 6. Update traffic prediction model 7. Implement manual route approval for validation",4.5
NT-025,Exoskeleton Suit Motion Prediction Lag,"Industrial exoskeleton experiencing 200ms lag in motion prediction causing worker fatigue. Suit movements not synchronized with user intent. Battery and sensors functional.",Unknown,High,"1. Check motion prediction neural network latency 2. Review sensor fusion algorithm performance 3. Optimize edge computing processing 4. Verify IMU sensor calibration 5. Update motion prediction model 6. Test with different movement patterns 7. Reduce model complexity if needed",7.0
